category,rank,feature,gain_thousands,dataset,seed
NK,1,nb_vote_frac,155,bench-v1-K5-filtered,42
NK,2,k_position,58,bench-v1-K5-filtered,42
NK,3,evidence_code,48,bench-v1-K5-filtered,42
NK,4,go_term_freq,45,bench-v1-K5-filtered,42
NK,5,vote_count,28,bench-v1-K5-filtered,42
NK,6,anc2vec_n_cos,27,bench-v1-K5-filtered,42
NK,7,ref_ann_dens,17,bench-v1-K5-filtered,42
NK,8,emb_pca_q_5,5,bench-v1-K5-filtered,42
NK,9,emb_pca_q_0,5,bench-v1-K5-filtered,42
NK,10,anc2vec_n_maxcos,5,bench-v1-K5-filtered,42
LK,1,nb_vote_frac,98,bench-v1-K5-filtered,42
LK,2,evidence_code,45,bench-v1-K5-filtered,42
LK,3,k_position,38,bench-v1-K5-filtered,42
LK,4,go_term_freq,33,bench-v1-K5-filtered,42
LK,5,anc2vec_n_cos,18,bench-v1-K5-filtered,42
LK,6,vote_count,17,bench-v1-K5-filtered,42
LK,7,anc2vec_q_maxcos,13,bench-v1-K5-filtered,42
LK,8,ref_ann_dens,9,bench-v1-K5-filtered,42
LK,9,anc2vec_q_count,7,bench-v1-K5-filtered,42
LK,10,anc2vec_q_cos,7,bench-v1-K5-filtered,42
PK,1,go_term_freq,410,bench-v1-K5-filtered,42
PK,2,anc2vec_q_maxcos,233,bench-v1-K5-filtered,42
PK,3,nb_vote_frac,166,bench-v1-K5-filtered,42
PK,4,nb_min_dist,133,bench-v1-K5-filtered,42
PK,5,qualifier,85,bench-v1-K5-filtered,42
PK,6,anc2vec_n_cos,83,bench-v1-K5-filtered,42
PK,7,evidence_code,64,bench-v1-K5-filtered,42
PK,8,anc2vec_q_cos,55,bench-v1-K5-filtered,42
PK,9,vote_count,53,bench-v1-K5-filtered,42
PK,10,anc2vec_q_count,50,bench-v1-K5-filtered,42
