k,category,aspect,fmax
5,NK,BPO,0.412
10,NK,BPO,0.400
20,NK,BPO,0.396
50,NK,BPO,0.396
5,NK,MFO,0.590
10,NK,MFO,0.574
20,NK,MFO,0.564
50,NK,MFO,0.555
5,NK,CCO,0.668
10,NK,CCO,0.656
20,NK,CCO,0.649
50,NK,CCO,0.646
5,LK,BPO,0.467
10,LK,BPO,0.458
20,LK,BPO,0.454
50,LK,BPO,0.452
5,LK,MFO,0.558
10,LK,MFO,0.537
20,LK,MFO,0.528
50,LK,MFO,0.523
5,LK,CCO,0.676
10,LK,CCO,0.663
20,LK,CCO,0.654
50,LK,CCO,0.651
5,PK,BPO,0.187
10,PK,BPO,0.177
20,PK,BPO,0.173
50,PK,BPO,0.173
5,PK,MFO,0.278
10,PK,MFO,0.272
20,PK,MFO,0.269
50,PK,MFO,0.269
5,PK,CCO,0.325
10,PK,CCO,0.317
20,PK,CCO,0.313
50,PK,CCO,0.312
