method,category,aspect,fmax,dataset_note
eggNOG-mapper_2.1.13,NK,BPO,0.247,pre-leakage-fix bench-v1-K5 (GOA220->229)
eggNOG-mapper_2.1.13,NK,MFO,0.359,pre-leakage-fix bench-v1-K5 (GOA220->229)
eggNOG-mapper_2.1.13,NK,CCO,0.386,pre-leakage-fix bench-v1-K5 (GOA220->229)
eggNOG-mapper_2.1.13,LK,BPO,0.382,pre-leakage-fix bench-v1-K5 (GOA220->229)
eggNOG-mapper_2.1.13,LK,MFO,0.334,pre-leakage-fix bench-v1-K5 (GOA220->229)
eggNOG-mapper_2.1.13,LK,CCO,0.450,pre-leakage-fix bench-v1-K5 (GOA220->229)
eggNOG-mapper_2.1.13,PK,BPO,0.190,pre-leakage-fix bench-v1-K5 (GOA220->229)
eggNOG-mapper_2.1.13,PK,MFO,0.199,pre-leakage-fix bench-v1-K5 (GOA220->229)
eggNOG-mapper_2.1.13,PK,CCO,0.325,pre-leakage-fix bench-v1-K5 (GOA220->229)
PROTEA_baseline,NK,BPO,0.412,pre-leakage-fix bench-v1-K5 (22-feature GOA220->229)
PROTEA_baseline,NK,MFO,0.590,pre-leakage-fix bench-v1-K5 (22-feature GOA220->229)
PROTEA_baseline,NK,CCO,0.668,pre-leakage-fix bench-v1-K5 (22-feature GOA220->229)
PROTEA_baseline,LK,BPO,0.467,pre-leakage-fix bench-v1-K5 (22-feature GOA220->229)
PROTEA_baseline,LK,MFO,0.558,pre-leakage-fix bench-v1-K5 (22-feature GOA220->229)
PROTEA_baseline,LK,CCO,0.675,pre-leakage-fix bench-v1-K5 (22-feature GOA220->229)
PROTEA_baseline,PK,BPO,0.187,pre-leakage-fix bench-v1-K5 (22-feature GOA220->229)
PROTEA_baseline,PK,MFO,0.278,pre-leakage-fix bench-v1-K5 (22-feature GOA220->229)
PROTEA_baseline,PK,CCO,0.325,pre-leakage-fix bench-v1-K5 (22-feature GOA220->229)
PROTEA_reranker_v3,NK,BPO,0.599,leakage-free bench-v1-K5-filtered (52-feature GOA220->230 mean-3-seeds)
PROTEA_reranker_v3,NK,MFO,0.646,leakage-free bench-v1-K5-filtered (52-feature GOA220->230 mean-3-seeds)
PROTEA_reranker_v3,NK,CCO,0.775,leakage-free bench-v1-K5-filtered (52-feature GOA220->230 mean-3-seeds)
PROTEA_reranker_v3,LK,BPO,0.620,leakage-free bench-v1-K5-filtered (52-feature GOA220->230 mean-3-seeds)
PROTEA_reranker_v3,LK,MFO,0.606,leakage-free bench-v1-K5-filtered (52-feature GOA220->230 mean-3-seeds)
PROTEA_reranker_v3,LK,CCO,0.794,leakage-free bench-v1-K5-filtered (52-feature GOA220->230 mean-3-seeds)
PROTEA_reranker_v3,PK,BPO,0.165,leakage-free bench-v1-K5-filtered (52-feature GOA220->230 mean-3-seeds)
PROTEA_reranker_v3,PK,MFO,0.293,leakage-free bench-v1-K5-filtered (52-feature GOA220->230 mean-3-seeds)
PROTEA_reranker_v3,PK,CCO,0.346,leakage-free bench-v1-K5-filtered (52-feature GOA220->230 mean-3-seeds)
