method,category,aspect,fmax,dataset_note
Baseline,NK,BPO,0.412,pre-leakage-fix bench-v1-K5 (22-feature GOA220->229)
Baseline,NK,MFO,0.590,pre-leakage-fix bench-v1-K5 (22-feature GOA220->229)
Baseline,NK,CCO,0.668,pre-leakage-fix bench-v1-K5 (22-feature GOA220->229)
Baseline,LK,BPO,0.467,pre-leakage-fix bench-v1-K5 (22-feature GOA220->229)
Baseline,LK,MFO,0.558,pre-leakage-fix bench-v1-K5 (22-feature GOA220->229)
Baseline,LK,CCO,0.675,pre-leakage-fix bench-v1-K5 (22-feature GOA220->229)
Baseline,PK,BPO,0.187,pre-leakage-fix bench-v1-K5 (22-feature GOA220->229)
Baseline,PK,MFO,0.278,pre-leakage-fix bench-v1-K5 (22-feature GOA220->229)
Baseline,PK,CCO,0.325,pre-leakage-fix bench-v1-K5 (22-feature GOA220->229)
AlnWeighted,NK,BPO,0.428,pre-leakage-fix bench-v1-K5 (22-feature GOA220->229)
AlnWeighted,NK,MFO,0.611,pre-leakage-fix bench-v1-K5 (22-feature GOA220->229)
AlnWeighted,NK,CCO,0.683,pre-leakage-fix bench-v1-K5 (22-feature GOA220->229)
AlnWeighted,LK,BPO,0.500,pre-leakage-fix bench-v1-K5 (22-feature GOA220->229)
AlnWeighted,LK,MFO,0.598,pre-leakage-fix bench-v1-K5 (22-feature GOA220->229)
AlnWeighted,LK,CCO,0.699,pre-leakage-fix bench-v1-K5 (22-feature GOA220->229)
AlnWeighted,PK,BPO,0.201,pre-leakage-fix bench-v1-K5 (22-feature GOA220->229)
AlnWeighted,PK,MFO,0.285,pre-leakage-fix bench-v1-K5 (22-feature GOA220->229)
AlnWeighted,PK,CCO,0.337,pre-leakage-fix bench-v1-K5 (22-feature GOA220->229)
v1bal,NK,BPO,0.408,pre-leakage-fix bench-v1-K5 (22-feature GOA220->229)
v1bal,NK,MFO,0.577,pre-leakage-fix bench-v1-K5 (22-feature GOA220->229)
v1bal,NK,CCO,0.687,pre-leakage-fix bench-v1-K5 (22-feature GOA220->229)
v1bal,LK,BPO,0.478,pre-leakage-fix bench-v1-K5 (22-feature GOA220->229)
v1bal,LK,MFO,0.506,pre-leakage-fix bench-v1-K5 (22-feature GOA220->229)
v1bal,LK,CCO,0.711,pre-leakage-fix bench-v1-K5 (22-feature GOA220->229)
v1bal,PK,BPO,0.201,pre-leakage-fix bench-v1-K5 (22-feature GOA220->229)
v1bal,PK,MFO,0.298,pre-leakage-fix bench-v1-K5 (22-feature GOA220->229)
v1bal,PK,CCO,0.332,pre-leakage-fix bench-v1-K5 (22-feature GOA220->229)
v2,NK,BPO,0.425,pre-leakage-fix bench-v1-K5 (22-feature GOA220->229)
v2,NK,MFO,0.607,pre-leakage-fix bench-v1-K5 (22-feature GOA220->229)
v2,NK,CCO,0.689,pre-leakage-fix bench-v1-K5 (22-feature GOA220->229)
v2,LK,BPO,0.486,pre-leakage-fix bench-v1-K5 (22-feature GOA220->229)
v2,LK,MFO,0.575,pre-leakage-fix bench-v1-K5 (22-feature GOA220->229)
v2,LK,CCO,0.707,pre-leakage-fix bench-v1-K5 (22-feature GOA220->229)
v2,PK,BPO,0.199,pre-leakage-fix bench-v1-K5 (22-feature GOA220->229)
v2,PK,MFO,0.297,pre-leakage-fix bench-v1-K5 (22-feature GOA220->229)
v2,PK,CCO,0.335,pre-leakage-fix bench-v1-K5 (22-feature GOA220->229)
v3,NK,BPO,0.599,leakage-free bench-v1-K5-filtered (52-feature GOA220->230 mean-3-seeds)
v3,NK,MFO,0.646,leakage-free bench-v1-K5-filtered (52-feature GOA220->230 mean-3-seeds)
v3,NK,CCO,0.775,leakage-free bench-v1-K5-filtered (52-feature GOA220->230 mean-3-seeds)
v3,LK,BPO,0.620,leakage-free bench-v1-K5-filtered (52-feature GOA220->230 mean-3-seeds)
v3,LK,MFO,0.606,leakage-free bench-v1-K5-filtered (52-feature GOA220->230 mean-3-seeds)
v3,LK,CCO,0.794,leakage-free bench-v1-K5-filtered (52-feature GOA220->230 mean-3-seeds)
v3,PK,BPO,0.165,leakage-free bench-v1-K5-filtered (52-feature GOA220->230 mean-3-seeds)
v3,PK,MFO,0.293,leakage-free bench-v1-K5-filtered (52-feature GOA220->230 mean-3-seeds)
v3,PK,CCO,0.346,leakage-free bench-v1-K5-filtered (52-feature GOA220->230 mean-3-seeds)
